order_id,total_price,time,quantity,time_date,time_hour
392,55000,2024-01-04T22:27:00.000+07:00,1,2024-01-04,22
435,520000,2024-01-05T13:01:00.000+07:00,9,2024-01-05,13
479,220000,2024-01-05T08:37:00.000+07:00,4,2024-01-05,8
739,160000,2024-01-08T16:11:00.000+07:00,2,2024-01-08,16
774,210000,2024-01-08T14:19:00.000+07:00,5,2024-01-08,14
875,235000,2024-01-09T09:24:00.000+07:00,5,2024-01-09,9
1091,70000,2024-01-11T09:46:00.000+07:00,2,2024-01-11,9
1267,210000,2024-01-14T17:41:00.000+07:00,4,2024-01-14,17
1317,260000,2024-01-15T21:27:00.000+07:00,5,2024-01-15,21
1365,60000,2024-01-15T21:58:00.000+07:00,2,2024-01-15,21
1371,160000,2024-01-16T18:16:00.000+07:00,2,2024-01-16,18
1401,620000,2024-01-16T22:51:00.000+07:00,13,2024-01-16,22
1469,380000,2024-01-16T17:21:00.000+07:00,7,2024-01-16,17
1473,260000,2024-01-16T12:34:00.000+07:00,6,2024-01-16,12
1978,195000,2024-01-22T11:39:00.000+07:00,4,2024-01-22,11
2010,370000,2024-01-22T10:10:00.000+07:00,7,2024-01-22,10
2167,350000,2024-01-24T10:24:00.000+07:00,7,2024-01-24,10
2254,315000,2024-01-25T17:38:00.000+07:00,9,2024-01-25,17
2343,615000,2024-01-25T17:15:00.000+07:00,12,2024-01-25,17
2387,430000,2024-01-26T18:30:00.000+07:00,9,2024-01-26,18
3049,75000,2024-02-01T21:55:00.000+07:00,2,2024-02-01,21
3151,345000,2024-02-03T16:35:00.000+07:00,6,2024-02-03,16
3222,210000,2024-02-03T19:30:00.000+07:00,6,2024-02-03,19
3514,130000,2024-02-07T22:34:00.000+07:00,4,2024-02-07,22
3751,410000,2024-02-09T13:53:00.000+07:00,7,2024-02-09,13
3878,45000,2024-02-10T11:11:00.000+07:00,1,2024-02-10,11
4049,125000,2024-02-12T13:43:00.000+07:00,3,2024-02-12,13
4092,95000,2024-02-12T18:51:00.000+07:00,3,2024-02-12,18
4533,480000,2024-02-16T12:23:00.000+07:00,9,2024-02-16,12
4537,165000,2024-02-16T19:37:00.000+07:00,3,2024-02-16,19
4580,110000,2024-02-17T16:36:00.000+07:00,3,2024-02-17,16
5122,390000,2024-02-22T19:48:00.000+07:00,7,2024-02-22,19
5197,310000,2024-02-23T16:14:00.000+07:00,5,2024-02-23,16
5230,155000,2024-02-23T18:49:00.000+07:00,5,2024-02-23,18
5306,100000,2024-02-25T09:26:00.000+07:00,2,2024-02-25,9
5402,90000,2024-02-25T19:24:00.000+07:00,2,2024-02-25,19
5595,95000,2024-02-28T19:05:00.000+07:00,3,2024-02-28,19
5603,105000,2024-02-28T11:32:00.000+07:00,3,2024-02-28,11
5800,295000,2024-02-29T17:04:00.000+07:00,5,2024-02-29,17
6016,185000,2024-03-03T10:58:00.000+07:00,6,2024-03-03,10
6322,270000,2024-03-06T18:58:00.000+07:00,4,2024-03-06,18
6790,140000,2024-03-10T16:17:00.000+07:00,4,2024-03-10,16
7056,415000,2024-03-12T15:37:00.000+07:00,8,2024-03-12,15
7098,180000,2024-03-13T20:27:00.000+07:00,4,2024-03-13,20
7130,145000,2024-03-13T21:03:00.000+07:00,4,2024-03-13,21
7468,295000,2024-03-16T19:52:00.000+07:00,8,2024-03-16,19
7740,190000,2024-03-19T17:17:00.000+07:00,4,2024-03-19,17
7818,455000,2024-03-20T09:26:00.000+07:00,10,2024-03-20,9
7969,455000,2024-03-22T17:12:00.000+07:00,8,2024-03-22,17
8090,195000,2024-03-23T08:50:00.000+07:00,5,2024-03-23,8
8132,95000,2024-03-23T12:54:00.000+07:00,2,2024-03-23,12
8538,340000,2024-03-26T11:56:00.000+07:00,6,2024-03-26,11
8633,345000,2024-03-27T17:34:00.000+07:00,7,2024-03-27,17
8689,595000,2024-03-28T21:23:00.000+07:00,12,2024-03-28,21
8809,350000,2024-03-30T17:43:00.000+07:00,8,2024-03-30,17
9118,400000,2024-04-03T14:21:00.000+07:00,10,2024-04-03,14
10016,255000,2024-04-12T16:57:00.000+07:00,5,2024-04-12,16
10082,270000,2024-04-13T16:34:00.000+07:00,6,2024-04-13,16
10175,380000,2024-04-14T20:39:00.000+07:00,7,2024-04-14,20
10354,285000,2024-04-17T21:11:00.000+07:00,4,2024-04-17,21
10438,185000,2024-04-18T09:46:00.000+07:00,4,2024-04-18,9
10604,545000,2024-04-20T22:04:00.000+07:00,10,2024-04-20,22
10619,285000,2024-04-20T15:43:00.000+07:00,4,2024-04-20,15
10844,275000,2024-04-22T14:23:00.000+07:00,7,2024-04-22,14
10954,490000,2024-04-23T20:18:00.000+07:00,11,2024-04-23,20
11011,425000,2024-04-24T14:28:00.000+07:00,9,2024-04-24,14
11261,440000,2024-04-26T09:54:00.000+07:00,7,2024-04-26,9
11330,520000,2024-04-27T20:16:00.000+07:00,10,2024-04-27,20
11354,30000,2024-04-27T15:03:00.000+07:00,1,2024-04-27,15
11492,210000,2024-04-29T09:56:00.000+07:00,3,2024-04-29,9
11533,315000,2024-04-29T16:00:00.000+07:00,7,2024-04-29,16
11774,370000,2024-05-01T15:06:00.000+07:00,10,2024-05-01,15
12499,375000,2024-05-04T17:27:00.000+07:00,8,2024-05-04,17
12639,635000,2024-05-05T09:50:00.000+07:00,13,2024-05-05,9
12997,495000,2024-05-06T14:59:00.000+07:00,11,2024-05-06,14
13078,205000,2024-05-07T20:31:00.000+07:00,3,2024-05-07,20
13284,240000,2024-05-08T08:19:00.000+07:00,5,2024-05-08,8
13444,215000,2024-05-08T17:20:00.000+07:00,5,2024-05-08,17
13539,165000,2024-05-08T21:40:00.000+07:00,3,2024-05-08,21
13720,80000,2024-05-09T20:34:00.000+07:00,1,2024-05-09,20
13767,675000,2024-05-09T12:22:00.000+07:00,11,2024-05-09,12
13913,30000,2024-05-10T15:55:00.000+07:00,1,2024-05-10,15
14044,305000,2024-05-10T12:07:00.000+07:00,8,2024-05-10,12
14050,440000,2024-05-10T12:00:00.000+07:00,9,2024-05-10,12
14061,340000,2024-05-10T09:00:00.000+07:00,7,2024-05-10,9
14205,610000,2024-05-11T14:12:00.000+07:00,12,2024-05-11,14
14306,90000,2024-05-12T21:38:00.000+07:00,3,2024-05-12,21
14309,310000,2024-05-12T19:39:00.000+07:00,8,2024-05-12,19
14448,260000,2024-05-12T11:24:00.000+07:00,7,2024-05-12,11
14938,480000,2024-05-14T13:25:00.000+07:00,8,2024-05-14,13
14953,535000,2024-05-14T14:18:00.000+07:00,10,2024-05-14,14
15094,305000,2024-05-15T12:10:00.000+07:00,6,2024-05-15,12
15161,230000,2024-05-15T14:06:00.000+07:00,4,2024-05-15,14
15440,240000,2024-05-16T08:32:00.000+07:00,4,2024-05-16,8
15507,135000,2024-05-16T14:33:00.000+07:00,4,2024-05-16,14
15686,180000,2024-05-17T14:44:00.000+07:00,3,2024-05-17,14
15801,110000,2024-05-17T14:15:00.000+07:00,4,2024-05-17,14
15876,425000,2024-05-17T22:56:00.000+07:00,11,2024-05-17,22
16159,305000,2024-05-19T20:29:00.000+07:00,7,2024-05-19,20
16174,95000,2024-05-19T12:45:00.000+07:00,2,2024-05-19,12
16296,345000,2024-05-19T09:57:00.000+07:00,8,2024-05-19,9
16487,425000,2024-05-20T10:16:00.000+07:00,9,2024-05-20,10
16590,255000,2024-05-20T20:52:00.000+07:00,6,2024-05-20,20
16694,90000,2024-05-21T15:34:00.000+07:00,3,2024-05-21,15
16853,135000,2024-05-21T16:50:00.000+07:00,3,2024-05-21,16
17037,265000,2024-05-22T18:53:00.000+07:00,5,2024-05-22,18
17064,280000,2024-05-22T15:22:00.000+07:00,8,2024-05-22,15
17223,385000,2024-05-23T08:53:00.000+07:00,7,2024-05-23,8
17899,60000,2024-05-26T15:11:00.000+07:00,2,2024-05-26,15
18254,165000,2024-05-27T12:41:00.000+07:00,5,2024-05-27,12
18399,455000,2024-05-28T13:01:00.000+07:00,9,2024-05-28,13
18538,390000,2024-05-28T15:25:00.000+07:00,9,2024-05-28,15
19102,135000,2024-05-30T08:41:00.000+07:00,3,2024-05-30,8
19408,235000,2024-06-01T13:30:00.000+07:00,5,2024-06-01,13
19411,195000,2024-06-01T15:04:00.000+07:00,4,2024-06-01,15
19674,245000,2024-06-02T10:42:00.000+07:00,5,2024-06-02,10
19677,305000,2024-06-02T11:34:00.000+07:00,8,2024-06-02,11
20619,365000,2024-06-06T09:00:00.000+07:00,7,2024-06-06,9
20885,165000,2024-06-07T18:52:00.000+07:00,3,2024-06-07,18
20886,160000,2024-06-07T18:56:00.000+07:00,4,2024-06-07,18
21029,100000,2024-06-07T08:38:00.000+07:00,2,2024-06-07,8
21054,170000,2024-06-07T15:50:00.000+07:00,5,2024-06-07,15
21561,240000,2024-06-09T10:52:00.000+07:00,4,2024-06-09,10
22059,390000,2024-06-11T15:09:00.000+07:00,8,2024-06-11,15
22104,75000,2024-06-11T09:31:00.000+07:00,3,2024-06-11,9
22192,405000,2024-06-11T21:42:00.000+07:00,10,2024-06-11,21
22379,345000,2024-06-12T13:29:00.000+07:00,9,2024-06-12,13
22424,595000,2024-06-12T15:24:00.000+07:00,12,2024-06-12,15
22492,230000,2024-06-12T12:36:00.000+07:00,5,2024-06-12,12
22705,635000,2024-06-13T16:33:00.000+07:00,12,2024-06-13,16
22854,185000,2024-06-14T13:20:00.000+07:00,5,2024-06-14,13
23162,440000,2024-06-15T12:46:00.000+07:00,10,2024-06-15,12
23385,490000,2024-06-16T08:13:00.000+07:00,11,2024-06-16,8
23629,415000,2024-06-17T19:08:00.000+07:00,8,2024-06-17,19
23698,185000,2024-06-18T13:45:00.000+07:00,3,2024-06-18,13
24423,155000,2024-06-21T09:19:00.000+07:00,5,2024-06-21,9
24493,455000,2024-06-21T15:59:00.000+07:00,9,2024-06-21,15
24566,165000,2024-06-21T18:10:00.000+07:00,3,2024-06-21,18
24728,240000,2024-06-22T14:10:00.000+07:00,3,2024-06-22,14
24839,170000,2024-06-23T21:44:00.000+07:00,3,2024-06-23,21
25831,290000,2024-06-26T20:15:00.000+07:00,4,2024-06-26,20
25845,440000,2024-06-26T18:44:00.000+07:00,8,2024-06-26,18
25894,190000,2024-06-27T12:51:00.000+07:00,4,2024-06-27,12
26139,425000,2024-06-28T12:25:00.000+07:00,10,2024-06-28,12
26996,270000,2024-07-01T16:12:00.000+07:00,5,2024-07-01,16
27341,595000,2024-07-02T16:42:00.000+07:00,11,2024-07-02,16
27354,235000,2024-07-03T11:07:00.000+07:00,5,2024-07-03,11
27380,300000,2024-07-03T21:28:00.000+07:00,7,2024-07-03,21
27512,330000,2024-07-03T08:05:00.000+07:00,9,2024-07-03,8
27566,350000,2024-07-04T08:37:00.000+07:00,9,2024-07-04,8
27813,480000,2024-07-05T17:33:00.000+07:00,9,2024-07-05,17
27863,620000,2024-07-05T09:37:00.000+07:00,11,2024-07-05,9
27963,205000,2024-07-05T21:38:00.000+07:00,5,2024-07-05,21
28027,320000,2024-07-06T11:25:00.000+07:00,7,2024-07-06,11
28307,255000,2024-07-07T12:43:00.000+07:00,6,2024-07-07,12
28392,145000,2024-07-08T21:01:00.000+07:00,4,2024-07-08,21
28737,160000,2024-07-09T08:41:00.000+07:00,4,2024-07-09,8
28787,200000,2024-07-09T18:10:00.000+07:00,5,2024-07-09,18
28964,200000,2024-07-10T15:45:00.000+07:00,4,2024-07-10,15
29791,45000,2024-07-13T16:46:00.000+07:00,1,2024-07-13,16
30044,285000,2024-07-14T15:51:00.000+07:00,6,2024-07-14,15
30150,385000,2024-07-14T13:09:00.000+07:00,8,2024-07-14,13
30172,515000,2024-07-14T13:23:00.000+07:00,10,2024-07-14,13
30678,210000,2024-07-16T16:50:00.000+07:00,3,2024-07-16,16
30732,365000,2024-07-16T14:31:00.000+07:00,9,2024-07-16,14
30844,240000,2024-07-17T19:43:00.000+07:00,7,2024-07-17,19
30956,300000,2024-07-17T18:33:00.000+07:00,7,2024-07-17,18
31460,325000,2024-07-19T20:36:00.000+07:00,7,2024-07-19,20
31587,135000,2024-07-20T20:39:00.000+07:00,3,2024-07-20,20
31786,35000,2024-07-21T08:52:00.000+07:00,1,2024-07-21,8
32075,235000,2024-07-22T16:58:00.000+07:00,6,2024-07-22,16
32367,305000,2024-07-23T20:24:00.000+07:00,6,2024-07-23,20
32551,60000,2024-07-24T16:54:00.000+07:00,2,2024-07-24,16
34170,80000,2024-07-30T14:44:00.000+07:00,2,2024-07-30,14
34464,430000,2024-07-31T14:32:00.000+07:00,8,2024-07-31,14
34476,60000,2024-07-31T14:01:00.000+07:00,2,2024-07-31,14
34603,255000,2024-08-01T09:01:00.000+07:00,6,2024-08-01,9
34784,210000,2024-08-02T10:24:00.000+07:00,3,2024-08-02,10
35116,160000,2024-08-03T19:30:00.000+07:00,3,2024-08-03,19
35234,160000,2024-08-03T14:33:00.000+07:00,2,2024-08-03,14
35272,440000,2024-08-03T14:11:00.000+07:00,11,2024-08-03,14
35816,440000,2024-08-06T18:09:00.000+07:00,10,2024-08-06,18
36254,775000,2024-08-07T22:46:00.000+07:00,14,2024-08-07,22
36351,460000,2024-08-08T09:26:00.000+07:00,10,2024-08-08,9
36930,240000,2024-08-10T18:29:00.000+07:00,5,2024-08-10,18
37079,375000,2024-08-10T08:08:00.000+07:00,6,2024-08-10,8
