order_id,total_price,time,quantity
1,370000,2024-01-01 19:58:00,7
2,455000,2024-01-01 20:25:00,8
3,25000,2024-01-01 09:37:00,1
4,90000,2024-01-01 16:09:00,2
5,325000,2024-01-01 22:04:00,6
6,260000,2024-01-01 13:35:00,5
7,645000,2024-01-01 08:03:00,12
8,605000,2024-01-01 19:59:00,12
9,210000,2024-01-01 14:49:00,5
10,395000,2024-01-01 16:37:00,10
11,245000,2024-01-01 13:50:00,7
12,130000,2024-01-01 08:38:00,3
13,605000,2024-01-01 21:27:00,11
14,80000,2024-01-01 20:12:00,2
15,385000,2024-01-01 17:58:00,8
16,210000,2024-01-01 08:34:00,3
17,150000,2024-01-01 08:47:00,2
18,310000,2024-01-01 22:01:00,9
19,410000,2024-01-01 12:55:00,10
20,270000,2024-01-01 09:04:00,5
21,75000,2024-01-01 17:44:00,3
22,325000,2024-01-01 19:23:00,8
23,210000,2024-01-01 14:27:00,5
24,495000,2024-01-01 10:51:00,11
25,265000,2024-01-01 11:38:00,5
26,195000,2024-01-01 20:33:00,6
27,475000,2024-01-01 16:20:00,9
28,165000,2024-01-01 19:50:00,5
29,90000,2024-01-01 13:26:00,2
30,370000,2024-01-01 08:45:00,8
31,370000,2024-01-01 18:35:00,7
32,340000,2024-01-01 12:34:00,8
33,210000,2024-01-01 09:06:00,5
34,255000,2024-01-01 10:59:00,6
35,25000,2024-01-01 12:19:00,1
36,70000,2024-01-01 15:51:00,2
37,50000,2024-01-01 12:54:00,2
38,70000,2024-01-01 15:27:00,2
39,330000,2024-01-01 11:29:00,8
40,200000,2024-01-01 13:20:00,5
41,535000,2024-01-01 22:05:00,10
42,135000,2024-01-01 17:56:00,3
43,100000,2024-01-01 11:34:00,2
44,185000,2024-01-01 22:11:00,4
45,230000,2024-01-01 11:42:00,4
46,510000,2024-01-01 08:19:00,11
47,690000,2024-01-01 22:57:00,13
48,75000,2024-01-01 10:53:00,2
49,295000,2024-01-01 21:22:00,6
50,375000,2024-01-01 16:59:00,9
51,100000,2024-01-01 17:28:00,2
52,380000,2024-01-01 18:26:00,10
53,315000,2024-01-01 10:28:00,8
54,185000,2024-01-01 13:41:00,4
55,580000,2024-01-01 16:51:00,12
56,230000,2024-01-01 14:30:00,5
57,375000,2024-01-01 13:58:00,9
58,285000,2024-01-01 09:52:00,7
59,365000,2024-01-01 19:46:00,7
60,170000,2024-01-01 18:16:00,4
61,150000,2024-01-01 12:27:00,4
62,165000,2024-01-01 22:00:00,5
63,230000,2024-01-01 09:49:00,5
64,345000,2024-01-01 11:32:00,6
65,475000,2024-01-01 09:49:00,11
66,460000,2024-01-01 17:46:00,11
67,370000,2024-01-02 14:34:00,8
68,175000,2024-01-02 09:30:00,4
69,250000,2024-01-02 19:27:00,6
70,270000,2024-01-02 11:01:00,4
71,140000,2024-01-02 18:03:00,2
72,370000,2024-01-02 09:12:00,6
73,80000,2024-01-02 20:41:00,2
74,110000,2024-01-02 21:29:00,3
75,450000,2024-01-02 08:24:00,10
76,480000,2024-01-02 15:26:00,9
77,380000,2024-01-02 19:57:00,6
78,445000,2024-01-02 19:05:00,8
79,70000,2024-01-02 16:30:00,2
80,170000,2024-01-02 12:38:00,3
81,45000,2024-01-02 21:51:00,1
82,75000,2024-01-02 22:57:00,3
83,175000,2024-01-02 08:11:00,5
84,180000,2024-01-02 14:13:00,5
85,80000,2024-01-02 22:27:00,2
86,255000,2024-01-02 15:08:00,6
87,430000,2024-01-02 12:13:00,7
88,550000,2024-01-02 22:58:00,11
89,95000,2024-01-02 19:29:00,2
90,415000,2024-01-02 21:48:00,9
91,640000,2024-01-02 09:03:00,12
92,140000,2024-01-02 09:05:00,2
93,40000,2024-01-02 18:08:00,1
94,110000,2024-01-02 16:47:00,2
95,445000,2024-01-02 14:59:00,9
96,55000,2024-01-02 12:19:00,1
97,390000,2024-01-02 13:38:00,7
98,350000,2024-01-02 13:52:00,7
99,295000,2024-01-02 12:10:00,6
100,395000,2024-01-02 11:43:00,8
101,650000,2024-01-02 18:39:00,13
102,245000,2024-01-02 17:15:00,5
103,470000,2024-01-02 08:24:00,8
104,120000,2024-01-02 14:40:00,3
105,370000,2024-01-02 20:45:00,7
106,205000,2024-01-02 13:59:00,5
107,135000,2024-01-02 22:38:00,3
108,170000,2024-01-02 19:36:00,3
109,350000,2024-01-02 12:03:00,8
110,400000,2024-01-02 15:41:00,9
111,250000,2024-01-02 18:13:00,7
112,135000,2024-01-02 10:01:00,3
113,320000,2024-01-02 13:22:00,7
114,70000,2024-01-02 16:39:00,2
115,295000,2024-01-02 17:32:00,5
116,670000,2024-01-02 18:16:00,12
117,160000,2024-01-02 09:49:00,4
118,640000,2024-01-02 13:32:00,10
119,485000,2024-01-02 18:10:00,9
120,525000,2024-01-02 18:00:00,12
121,230000,2024-01-02 21:05:00,4
122,185000,2024-01-02 14:58:00,4
123,165000,2024-01-02 22:12:00,3
124,590000,2024-01-02 09:57:00,11
125,485000,2024-01-02 11:39:00,9
126,415000,2024-01-02 14:46:00,8
127,285000,2024-01-02 22:51:00,6
128,185000,2024-01-02 22:40:00,3
129,345000,2024-01-02 18:46:00,9
130,105000,2024-01-02 20:31:00,3
131,255000,2024-01-02 16:40:00,5
132,160000,2024-01-02 15:54:00,2
133,390000,2024-01-02 16:41:00,9
134,510000,2024-01-02 18:13:00,10
135,100000,2024-01-02 13:30:00,2
136,185000,2024-01-02 17:41:00,4
137,100000,2024-01-02 15:14:00,2
138,240000,2024-01-02 09:33:00,6
139,615000,2024-01-02 15:19:00,14
140,230000,2024-01-02 21:25:00,6
141,345000,2024-01-02 13:42:00,9
142,130000,2024-01-02 22:00:00,3
143,330000,2024-01-02 18:47:00,6
144,300000,2024-01-02 14:28:00,9
145,315000,2024-01-02 10:18:00,6
146,370000,2024-01-02 15:28:00,7
147,90000,2024-01-02 08:10:00,3
148,310000,2024-01-02 19:01:00,8
149,290000,2024-01-02 21:34:00,6
150,215000,2024-01-02 16:37:00,5
151,180000,2024-01-02 22:41:00,5
152,540000,2024-01-02 21:40:00,11
153,300000,2024-01-02 08:14:00,9
154,90000,2024-01-02 08:25:00,2
155,235000,2024-01-02 14:34:00,6
156,395000,2024-01-02 19:05:00,9
157,385000,2024-01-02 15:50:00,7
158,450000,2024-01-02 12:02:00,8
159,260000,2024-01-02 11:34:00,8
160,155000,2024-01-02 22:18:00,5
161,395000,2024-01-02 11:21:00,9
162,420000,2024-01-02 08:48:00,9
163,440000,2024-01-02 13:22:00,10
164,335000,2024-01-02 21:05:00,7
165,200000,2024-01-02 21:14:00,5
166,455000,2024-01-02 08:05:00,9
167,90000,2024-01-02 13:33:00,2
168,95000,2024-01-02 20:40:00,3
169,405000,2024-01-02 21:55:00,10
170,130000,2024-01-02 15:55:00,3
171,285000,2024-01-02 14:57:00,6
172,370000,2024-01-02 18:18:00,5
173,390000,2024-01-02 18:34:00,10
174,430000,2024-01-02 09:19:00,10
175,240000,2024-01-02 08:16:00,5
176,340000,2024-01-02 18:57:00,6
177,25000,2024-01-02 18:18:00,1
178,130000,2024-01-02 11:40:00,3
179,180000,2024-01-02 17:51:00,4
180,455000,2024-01-02 20:48:00,8
181,635000,2024-01-02 11:05:00,12
182,285000,2024-01-03 13:53:00,5
183,315000,2024-01-03 17:11:00,7
184,35000,2024-01-03 09:52:00,1
185,600000,2024-01-03 10:24:00,11
186,70000,2024-01-03 15:48:00,1
187,300000,2024-01-03 18:27:00,6
188,730000,2024-01-03 19:47:00,13
189,105000,2024-01-03 16:24:00,3
190,90000,2024-01-03 17:42:00,2
191,160000,2024-01-03 21:34:00,2
192,490000,2024-01-03 16:29:00,8
193,530000,2024-01-03 11:01:00,9
194,350000,2024-01-03 14:51:00,7
195,450000,2024-01-03 14:48:00,8
196,215000,2024-01-03 22:03:00,4
197,300000,2024-01-03 13:54:00,6
198,710000,2024-01-03 10:46:00,12
199,150000,2024-01-03 08:29:00,3
200,590000,2024-01-03 19:47:00,11
201,275000,2024-01-03 12:05:00,6
202,590000,2024-01-03 14:34:00,12
203,465000,2024-01-03 15:41:00,9
204,190000,2024-01-03 17:45:00,4
205,265000,2024-01-03 12:20:00,5
206,70000,2024-01-03 20:10:00,2
207,55000,2024-01-03 18:32:00,1
208,240000,2024-01-03 12:57:00,6
209,400000,2024-01-03 16:45:00,9
210,425000,2024-01-03 19:50:00,8
211,290000,2024-01-03 13:32:00,5
212,120000,2024-01-03 13:34:00,3
213,120000,2024-01-03 19:09:00,2
214,250000,2024-01-03 19:05:00,7
215,80000,2024-01-03 22:12:00,2
216,265000,2024-01-03 19:42:00,6
217,375000,2024-01-03 19:49:00,9
218,170000,2024-01-03 11:03:00,4
219,120000,2024-01-03 10:10:00,2
220,180000,2024-01-03 10:55:00,4
