time_date,y_sales,dish_count_in_order_1d,dish_quantity_in_order_avg_1d,dish_base_price,dish_revenue_day_1d,dish_total_quantity_1d,day_order_count_1d,day_total_quantity_1d,day_total_revenue_1d,day_order_variety_1d,avg_order_size_1d,dish_sales_ratio_daily_1d,dish_order_ratio_daily_1d,dish_revenue_ratio_daily_1d,dish_order_size_ratio_1d,day_order_count_3d,day_total_quantity_3d,day_total_revenue_3d,avg_order_size_3d,day_order_variety_3d,dish_count_in_order_3d,dish_quantity_in_order_avg_3d,dish_sales_ratio_daily_3d,dish_order_ratio_daily_3d,dish_revenue_ratio_daily_3d,dish_order_size_ratio_3d,day_order_count_7d,day_total_quantity_7d,day_total_revenue_7d,avg_order_size_7d,day_order_variety_7d,dish_count_in_order_7d,dish_quantity_in_order_avg_7d,dish_sales_ratio_daily_7d,dish_order_ratio_daily_7d,dish_revenue_ratio_daily_7d,dish_order_size_ratio_7d,day_order_count_14d,day_total_quantity_14d,day_total_revenue_14d,avg_order_size_14d,day_order_variety_14d,dish_count_in_order_14d,dish_quantity_in_order_avg_14d,dish_sales_ratio_daily_14d,dish_order_ratio_daily_14d,dish_revenue_ratio_daily_14d,dish_order_size_ratio_14d,day_order_count_30d,day_total_quantity_30d,day_total_revenue_30d,avg_order_size_30d,day_order_variety_30d,dish_count_in_order_30d,dish_quantity_in_order_avg_30d,dish_sales_ratio_daily_30d,dish_order_ratio_daily_30d,dish_revenue_ratio_daily_30d,dish_order_size_ratio_30d
2024-01-01,44,22,2.0,25000,1100000,44,66,1579,72745000,10,23.924242424242426,0.02786573780873971,0.3333333333333333,0.015121314179668706,0.08359721342621912,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-02,68,33,2.0606060606060606,25000,1700000,68,115,2575,123375000,10,22.391304347826086,0.02640776699029126,0.28695652173913044,0.013779128672745694,0.09202706678434834,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-03,76,39,1.9487179487179487,25000,1900000,76,150,3045,150220000,10,20.3,0.02495894909688013,0.26,0.012648116096391958,0.09599595806492357,331,7199,346340000,21.749244712990937,30,94,2.0,0.02611473815807751,0.283987915407855,0.01357047987526708,0.09054007942516368,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-04,63,31,2.032258064516129,25000,1575000,63,99,2066,96820000,10,20.86868686868687,0.03049370764762827,0.31313131313131315,0.016267300144598224,0.09738313087468382,364,7686,370415000,21.115384615384617,30,103,2.0097087378640777,0.026932084309133488,0.28296703296703296,0.013970816516609749,0.09513538524131858,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-05,42,18,2.3333333333333335,25000,1050000,42,60,1168,55855000,10,19.466666666666665,0.03595890410958904,0.3,0.018798675140990064,0.11986301369863016,309,6279,302895000,20.320388349514563,30,88,2.0568181818181817,0.028826246217550564,0.284789644012945,0.014939170339556612,0.10441403421274585,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-06,56,25,2.24,25000,1400000,56,93,1884,86750000,10,20.258064516129032,0.029723991507430998,0.26881720430107525,0.016138328530259365,0.11057324840764332,252,5118,239425000,20.30952380952381,30,74,2.175675675675676,0.031457600625244234,0.29365079365079366,0.01681110995092409,0.10927313099365243,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-07,36,18,2.0,25000,900000,36,59,1084,49590000,10,18.372881355932204,0.033210332103321034,0.3050847457627119,0.018148820326678767,0.1088560885608856,212,4136,192195000,19.50943396226415,30,61,2.19672131147541,0.03239845261121857,0.28773584905660377,0.017430214105465802,0.11309745022238638,642,13401,635355000,20.873831775700936,70,186,2.0698924731182795,0.02872919931348407,0.2897196261682243,0.015149011182724619,0.10118510283104769,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-08,99,49,2.020408163265306,25000,2475000,99,144,3480,164995000,10,24.166666666666668,0.028448275862068967,0.3402777777777778,0.015000454559229067,0.08360309641097817,296,6448,301335000,21.783783783783782,30,92,2.0760869565217392,0.029621588089330023,0.3108108108108108,0.01584615129341099,0.10101081112650236,720,15302,727605000,21.252777777777776,70,213,2.0657276995305165,0.02875441118807999,0.29583333333333334,0.015118092921296582,0.10118594325744186,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-09,103,46,2.239130434782609,25000,2575000,103,127,3051,144485000,10,24.023622047244096,0.033759423139954114,0.36220472440944884,0.017821919230369934,0.09320536388639505,330,7615,359070000,23.075757575757574,30,113,2.106194690265487,0.03125410374261326,0.3424242424242424,0.01657058512267803,0.09522151628608627,732,15778,748715000,21.55464480874317,70,226,2.101769911504425,0.030105209785777666,0.3087431693989071,0.015860507669807605,0.10135427141487709,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-10,56,29,1.9310344827586208,25000,1400000,56,83,1900,87920000,10,22.89156626506024,0.029473684210526315,0.3493975903614458,0.01592356687898089,0.0843557168784029,354,8431,397400000,23.816384180790962,30,124,2.0806451612903225,0.030601352152769542,0.3502824858757062,0.016230498238550578,0.0870547257252587,665,14633,686415000,22.004511278195487,70,216,2.1064814814814814,0.031094102371352423,0.324812030075188,0.0165716075551962,0.09969137981680273,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
