time_date,y_sales,dish_count_in_order_1d,dish_quantity_in_order_avg_1d,dish_base_price,dish_revenue_day_1d,dish_total_quantity_1d,day_order_count_1d,day_total_quantity_1d,day_total_revenue_1d,day_order_variety_1d,avg_order_size_1d,dish_sales_ratio_daily_1d,dish_order_ratio_daily_1d,dish_revenue_ratio_daily_1d,dish_order_size_ratio_1d,day_order_count_3d,day_total_quantity_3d,day_total_revenue_3d,avg_order_size_3d,day_order_variety_3d,dish_count_in_order_3d,dish_quantity_in_order_avg_3d,dish_sales_ratio_daily_3d,dish_order_ratio_daily_3d,dish_revenue_ratio_daily_3d,dish_order_size_ratio_3d,day_order_count_7d,day_total_quantity_7d,day_total_revenue_7d,avg_order_size_7d,day_order_variety_7d,dish_count_in_order_7d,dish_quantity_in_order_avg_7d,dish_sales_ratio_daily_7d,dish_order_ratio_daily_7d,dish_revenue_ratio_daily_7d,dish_order_size_ratio_7d,day_order_count_14d,day_total_quantity_14d,day_total_revenue_14d,avg_order_size_14d,day_order_variety_14d,dish_count_in_order_14d,dish_quantity_in_order_avg_14d,dish_sales_ratio_daily_14d,dish_order_ratio_daily_14d,dish_revenue_ratio_daily_14d,dish_order_size_ratio_14d,day_order_count_30d,day_total_quantity_30d,day_total_revenue_30d,avg_order_size_30d,day_order_variety_30d,dish_count_in_order_30d,dish_quantity_in_order_avg_30d,dish_sales_ratio_daily_30d,dish_order_ratio_daily_30d,dish_revenue_ratio_daily_30d,dish_order_size_ratio_30d
2024-01-01,50,24,2.0833333333333335,55000,2750000,50,66,1579,72745000,10,23.924242424242426,0.031665611146295125,0.36363636363636365,0.03780328544917176,0.0870804306523116,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-02,64,33,1.9393939393939394,55000,3520000,64,115,2575,123375000,10,22.391304347826086,0.024854368932038837,0.28695652173913044,0.028530901722391085,0.0866137099146808,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-03,99,47,2.106382978723404,55000,5445000,99,150,3045,150220000,10,20.3,0.03251231527093596,0.31333333333333335,0.0362468379709759,0.10376270831149774,331,7199,346340000,21.749244712990937,30,104,2.048076923076923,0.02958744270037505,0.31419939577039274,0.03382514292313911,0.09248561629283004,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-04,61,32,1.90625,55000,3355000,61,99,2066,96820000,10,20.86868686868687,0.02952565343659245,0.32323232323232326,0.03465193141912828,0.09134499031945789,364,7686,370415000,21.115384615384617,30,112,2.0,0.029143897996357013,0.3076923076923077,0.0332599921709434,0.0939071361818788,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-05,39,18,2.1666666666666665,55000,2145000,39,60,1168,55855000,10,19.466666666666665,0.03339041095890411,0.3,0.03840300778802256,0.1113013698630137,309,6279,302895000,20.320388349514563,30,97,2.051546391752577,0.031692944736423,0.313915857605178,0.03613463411413196,0.10213635616465644,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-06,42,24,1.75,55000,2310000,42,93,1884,86750000,10,20.258064516129032,0.022292993630573247,0.25806451612903225,0.026628242074927953,0.08638535031847133,252,5118,239425000,20.30952380952381,30,74,1.9189189189189189,0.027745212973817896,0.29365079365079366,0.032619818314712334,0.0963439035003143,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-07,30,19,1.5789473684210527,55000,1650000,30,59,1084,49590000,10,18.372881355932204,0.027675276752767528,0.3220338983050847,0.03327283726557774,0.08593901728490969,212,4136,192195000,19.50943396226415,30,61,1.819672131147541,0.02683752417794971,0.28773584905660377,0.03176461406384141,0.09454191248879824,642,13401,635355000,20.873831775700936,70,197,1.9543147208121827,0.02872919931348407,0.3068535825545171,0.03332782460199416,0.09320393952347754,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-08,79,38,2.0789473684210527,55000,4345000,79,144,3480,164995000,10,24.166666666666668,0.022701149425287358,0.2638888888888889,0.02633413133731325,0.08602540834845734,296,6448,301335000,21.783783783783782,30,81,1.8641975308641976,0.023418114143920594,0.27364864864864863,0.027560688270529477,0.08611659198394613,720,15302,727605000,21.252777777777776,70,211,1.962085308056872,0.027055286890602534,0.29305555555555557,0.031294452347083924,0.09305322205149835,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-09,50,29,1.7241379310344827,55000,2750000,50,127,3051,144485000,10,24.023622047244096,0.01638806948541462,0.2283464566929134,0.01903311762466692,0.07176844222922953,330,7615,359070000,23.075757575757574,30,86,1.8488372093023255,0.02087984241628365,0.2606060606060606,0.024354582671902415,0.08124428928753219,732,15778,748715000,21.55464480874317,70,207,1.932367149758454,0.02535175560907593,0.2827868852459016,0.029383677367222506,0.0909324695250053,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-10,34,18,1.8888888888888888,55000,1870000,34,83,1900,87920000,10,22.89156626506024,0.017894736842105262,0.21686746987951808,0.02126933575978162,0.08251461988304093,354,8431,397400000,23.816384180790962,30,85,1.9176470588235295,0.01933341240659471,0.2401129943502825,0.022559134373427277,0.08010282348690927,665,14633,686415000,22.004511278195487,70,178,1.8820224719101124,0.022893459987699035,0.26766917293233083,0.026842362127867253,0.08789702832094005,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
