time_date,y_sales,dish_count_in_order_1d,dish_quantity_in_order_avg_1d,dish_base_price,dish_revenue_day_1d,dish_total_quantity_1d,day_order_count_1d,day_total_quantity_1d,day_total_revenue_1d,day_order_variety_1d,avg_order_size_1d,dish_sales_ratio_daily_1d,dish_order_ratio_daily_1d,dish_revenue_ratio_daily_1d,dish_order_size_ratio_1d,day_order_count_3d,day_total_quantity_3d,day_total_revenue_3d,avg_order_size_3d,day_order_variety_3d,dish_count_in_order_3d,dish_quantity_in_order_avg_3d,dish_sales_ratio_daily_3d,dish_order_ratio_daily_3d,dish_revenue_ratio_daily_3d,dish_order_size_ratio_3d,day_order_count_7d,day_total_quantity_7d,day_total_revenue_7d,avg_order_size_7d,day_order_variety_7d,dish_count_in_order_7d,dish_quantity_in_order_avg_7d,dish_sales_ratio_daily_7d,dish_order_ratio_daily_7d,dish_revenue_ratio_daily_7d,dish_order_size_ratio_7d,day_order_count_14d,day_total_quantity_14d,day_total_revenue_14d,avg_order_size_14d,day_order_variety_14d,dish_count_in_order_14d,dish_quantity_in_order_avg_14d,dish_sales_ratio_daily_14d,dish_order_ratio_daily_14d,dish_revenue_ratio_daily_14d,dish_order_size_ratio_14d,day_order_count_30d,day_total_quantity_30d,day_total_revenue_30d,avg_order_size_30d,day_order_variety_30d,dish_count_in_order_30d,dish_quantity_in_order_avg_30d,dish_sales_ratio_daily_30d,dish_order_ratio_daily_30d,dish_revenue_ratio_daily_30d,dish_order_size_ratio_30d
2024-01-01,45,21,2.142857142857143,45000,2025000,45,66,1579,72745000,10,23.924242424242426,0.028499050031665613,0.3181818181818182,0.027836964739844663,0.08956844295666334,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-02,84,41,2.048780487804878,45000,3780000,84,115,2575,123375000,10,22.391304347826086,0.03262135922330097,0.3565217391304348,0.030638297872340424,0.0914989344068198,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-03,79,39,2.0256410256410255,45000,3555000,79,150,3045,150220000,10,20.3,0.02594417077175698,0.26,0.023665290906670217,0.0997852721990653,331,7199,346340000,21.749244712990937,30,101,2.0594059405940595,0.028892901791915542,0.30513595166163143,0.027025466304787204,0.09361754985418282,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-04,70,31,2.2580645161290325,45000,3150000,70,99,2066,96820000,10,20.86868686868687,0.03388189738625363,0.31313131313131315,0.03253460028919645,0.1082034787496487,364,7686,370415000,21.115384615384617,30,111,2.099099099099099,0.030314858183710644,0.30494505494505497,0.02830608911626149,0.09982922845184461,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-05,32,21,1.5238095238095237,45000,1440000,32,60,1168,55855000,10,19.466666666666665,0.0273972602739726,0.35,0.0257810401933578,0.07827788649706457,309,6279,302895000,20.320388349514563,30,91,1.989010989010989,0.028826246217550564,0.29449838187702265,0.026890506611201903,0.09542221248192619,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-06,46,20,2.3,45000,2070000,46,93,1884,86750000,10,20.258064516129032,0.024416135881104035,0.21505376344086022,0.023861671469740633,0.11353503184713375,252,5118,239425000,20.30952380952381,30,72,2.0555555555555554,0.028917545916373584,0.2857142857142857,0.027816644043019735,0.100005465697949,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-07,27,13,2.076923076923077,45000,1215000,27,59,1084,49590000,10,18.372881355932204,0.024907749077490774,0.22033898305084745,0.024500907441016333,0.11304286119784275,212,4136,192195000,19.50943396226415,30,54,1.9444444444444444,0.025386847195357835,0.25471698113207547,0.02458440646218684,0.10161859318068035,642,13401,635355000,20.873831775700936,70,186,2.0591397849462365,0.028579956719647786,0.2897196261682243,0.02712656703732559,0.09913027255060547,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-08,78,41,1.9024390243902438,45000,3510000,78,144,3480,164995000,10,24.166666666666668,0.022413793103448276,0.2847222222222222,0.021273371920361224,0.07872161480235491,296,6448,301335000,21.783783783783782,30,74,2.0405405405405403,0.023418114143920594,0.25,0.02254965403952412,0.10176650261577713,720,15302,727605000,21.252777777777776,70,206,2.0194174757281553,0.027185988759639262,0.2861111111111111,0.025728245407879276,0.09758072567141855,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-09,98,44,2.227272727272727,45000,4410000,98,127,3051,144485000,10,24.023622047244096,0.032120616191412654,0.3464566929133858,0.030522199536284045,0.0927117785524865,330,7615,359070000,23.075757575757574,30,98,2.0714285714285716,0.026657912015758373,0.296969696969697,0.025440721864817446,0.09482541818422806,732,15778,748715000,21.55464480874317,70,209,2.0574162679425836,0.027253137279756624,0.2855191256830601,0.025844279866170706,0.0977539891207995,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-10,59,27,2.185185185185185,45000,2655000,59,83,1900,87920000,10,22.89156626506024,0.03105263157894737,0.3253012048192771,0.030197907188353048,0.09545808966861598,354,8431,397400000,23.816384180790962,30,112,2.0982142857142856,0.02787332463527458,0.3163841807909605,0.026610468042274786,0.0889638276744858,665,14633,686415000,22.004511278195487,70,197,2.081218274111675,0.028018861477482403,0.2962406015037594,0.02687878324337318,0.09713582018787817,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-11,71,30,2.3666666666666667,45000,3195000,71,98,2229,102945000,10,22.744897959183675,0.031852848811126065,0.30612244897959184,0.03103599009179659,0.10405263944967848,308,7180,335350000,23.31168831168831,30,101,2.257425742574257,0.03175487465181059,0.32792207792207795,0.03059490084985836,0.09740750255692698,664,14796,692540000,22.283132530120483,70,196,2.0969387755102042,0.027777777777777776,0.29518072289156627,0.026706038640367344,0.09654284314502527,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-12,46,25,1.84,45000,2070000,46,76,1778,83630000,10,23.394736842105264,0.025871766029246346,0.32894736842105265,0.024751883295468135,0.07865016872890888,257,5907,274495000,22.98443579766537,30,82,2.1463414634146343,0.0297951582867784,0.31906614785992216,0.02885298457166797,0.09272029928240111,680,15406,720315000,22.655882352941177,70,200,2.125,0.027586654550175255,0.29411764705882354,0.026550883988255138,0.09659602632100303,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-13,49,23,2.130434782608696,45000,2205000,49,81,1549,73385000,10,19.123456790123456,0.0316333118140736,0.2839506172839506,0.03004701233222048,0.11140427204086789,255,5556,259960000,21.788235294117648,30,78,2.128205128205128,0.029877609791216703,0.3058823529411765,0.028735190029235268,0.09803569340648509,668,15071,706950000,22.561377245508982,70,203,2.1083743842364533,0.028398911817397652,0.30389221556886226,0.027243793761935073,0.09629163206296505,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-14,30,16,1.875,45000,1350000,30,51,874,39295000,10,17.137254901960784,0.034324942791762014,0.3137254901960784,0.034355515968952796,0.10941075514874142,208,4201,196310000,20.197115384615383,30,64,1.953125,0.029754820280885504,0.3076923076923077,0.028653660027507515,0.0998217319728394,660,14861,696655000,22.516666666666666,70,206,2.092233009708738,0.02900208599690465,0.31212121212121213,0.02784017914175596,0.09577275977023629,1302,28262,1332010000,21.706605222734254,140,392,2.076530612244898,0.028801924846083078,0.3010752688172043,0.027499793545093507,0.09745151616042089,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-15,32,15,2.1333333333333333,45000,1440000,32,66,1219,60515000,10,18.46969696969697,0.026251025430680888,0.22727272727272727,0.02379575311906139,0.1155045118949959,198,3642,173195000,18.393939393939394,30,54,2.0555555555555554,0.030477759472817133,0.2727272727272727,0.028840324489737,0.11210651302820174,582,12600,592175000,21.649484536082475,70,180,2.138888888888889,0.030555555555555555,0.30927835051546393,0.029256554228057584,0.10102745935489929,1302,27902,1319780000,21.43010752688172,140,386,2.0751295336787563,0.028707619525482043,0.2964669738863287,0.027311370076830987,0.09930409251315893,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2024-01-16,75,42,1.7857142857142858,45000,3375000,75,144,3270,158445000,10,22.708333333333332,0.022935779816513763,0.2916666666666667,0.021300766827605795,0.07863695937090433,261,5363,258255000,20.547892720306514,30,73,1.8767123287671232,0.025545403691963453,0.2796934865900383,0.02387175466109078,0.10118407547154722,599,12819,606135000,21.40066777963272,70,178,2.033707865168539,0.02823933224120446,0.29716193656093487,0.026875201069068773,0.09901677090038755,1331,28597,1354850000,21.48534936138242,140,387,2.046511627906977,0.027695212784557822,0.2907588279489106,0.02630549507325534,0.09838538001059352,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
